Item Code,Item Name,Retail Price,Cost,Category
4809014944487,CHOCO DOTS,26,24,Others
4800086049353,SELECTA COFFEE JELLY 1.3L,285,280,Others
363551537,MAXELL 1 BOX,600,550,Others
1234560961627,BABYFLO TRAINING CUP,151,141,Others
748485401591,BIRCH TREE 150G,49,47,Others
4806506069772,HERSHEYS PROMO,115,110,Others
8801062636822,LOTTE GHANA MILD CHOCOLATE 70G,100,90,Others
4800086048806,SELECTA COOKIS & CREAM 2.OL,385,360,Others
4800068301103,MOTHER S BEST BARBECUE MARINADE,56,50,Others
4806506701436,TINTIN,7,6,Others
790645215,RC QUET 1 CASE,200,190,Others
4800067126905,CLEENE ALCOHOL 150ML,33,32,Others
360809264,YOGU,12,11,Others
618034842,ICE LOLLY MARSHMALLOW 1 BOX,130,120,Others
6922297300745,CHOCOLATE ICE CREAM 1 BOX,130,120,Others
4806025961564,CRICKET BIG,25,20,Others
754163981,CHAMPION TWIN 1/2 DZ,88,80,Others
4809013918878,PHARMALINE ADULT DIAPER M10,174,170,Others
4806517040388,KNICK KNACKS CHOCOLATE 21G,9,8,Others
4806020492018,SULIT KALAMANSI,18,17,Others
530795401,BANAY PER KILO,45,39,Rice
626332794,CRUNCHY PEANUT,55,40,Others
4800088125345,CARNE NORTE 150G,30,29,Others
4800016012273,GREAT TASTE PREMIUM CLASSIC 50G,39,35,Others
404642907,CELLOPHANE BAGA,5,4,Others
103667212,CHAMPION CHICKEN LOAF,38,35,Others
455640831,RED HORSE 330ML,878,853,Others
437301685,TENDER JUICY CLASSIC 500G,135,130,Others
4902580150327,MAXELL,60,55,Others
4806020422183,WINROX FRESH LEMON 500ML,24,20,Others
4806504710249,MEGA MARCKEREL TOMATO SOUCE WITH CHILI ADDED 155G,28,27,Others
915383466,MIGHTY PER STICK,7,6,Others
204236522,CELLOPHANE LARGE BAGA,105,85,Others
4806524651096,PLAYFUL BABYWIPES 30SHEET,45,40,Others
692713212,SKIN CHICHARON BIG 1 BANDLE,220,210,Others
4806506703768,GOLDEN COIN 72G,23,20,Others
4800417008219,BENCH TICKLED PINK 75G,128,120,Others
631597089,CHICKEN LIVER PER KILO,180,170,Others
4806517042085,GOYA DARK CHOCOLATE 30G,27,25,Others
8998389121695,KUKIS MOCHACHINTO COOKIES,63,60,SNACKS
4801010560432,JOHNSONS BABY SOAP 60G,22,20,Others
4800488959007,EQ DRY XL28,320,300,Others
729461168219,KOBI,20,19,Others
4806026360823,HERSHEYS DARH CHOCOLATE 40G,125,110,Others
4806532840017,DENVER 500ML,15,12,Others
4800014147083,ABSOLUTE 350ML,17,15,Others
1234608168254,BINUKBOK KAPE 250G,75,70,Others
4806020497532,SPEED DAGDAG KITA KALAMANSI145G,10,9,Others
701008239,SUDLAY,10,5,Others
562692958,LEMON PER KILO,70,65,Others
272946482,CAROTS PER GRAM,7,5,Others
917914367,ATSAL 1/2 KILO,80,20,Others
586450746,WOODEN SPOON ALL PURPOSE,30,23,Others
4804888804240,MAMA SITAS OYSTER SAUCE 405G,105,100,Others
